GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
vtl-coverage/vtl-rest,it.bancaditalia.oss.vtl.spring.rest,VTLSessionManager,47,0,2,0,10,0,6,0,5,0
vtl-coverage/vtl-rest,it.bancaditalia.oss.vtl.spring.rest,VTLExceptionController,31,0,0,0,4,0,4,0,4,0
vtl-coverage/vtl-rest,it.bancaditalia.oss.vtl.spring.rest,VTLRESTfulServices,87,0,6,0,18,0,7,0,4,0
vtl-coverage/vtl-rest,it.bancaditalia.oss.vtl.spring.rest.exception,VTLInvalidSessionException,11,0,0,0,2,0,1,0,1,0
vtl-coverage/vtl-rest,it.bancaditalia.oss.vtl.spring.rest.result,UUIDBean,9,0,0,0,4,0,2,0,2,0
vtl-coverage/vtl-rest,it.bancaditalia.oss.vtl.spring.rest.result,DataSetResultBean,24,0,0,0,6,0,3,0,3,0
vtl-coverage/vtl-rest,it.bancaditalia.oss.vtl.spring.rest.result,DataSetResultBean.DataPointSerializer,57,0,2,0,17,0,4,0,3,0
vtl-coverage/vtl-rest,it.bancaditalia.oss.vtl.spring.rest.result,ScalarResultBean,20,0,0,0,6,0,3,0,3,0
vtl-coverage/vtl-rest,it.bancaditalia.oss.vtl.spring.rest.result,ResultBean,9,0,0,0,4,0,2,0,2,0
vtl-coverage/vtl-rest,it.bancaditalia.oss.vtl.spring.rest.result,ComponentBean,20,0,0,0,6,0,3,0,3,0
vtl-coverage/vtl-rest,it.bancaditalia.oss.vtl.spring.rest.result,DomainBean,10,0,0,0,4,0,2,0,2,0
vtl-coverage/vtl-cli,it.bancaditalia.oss.vtl.impl.cli,VTLShell,107,0,8,0,15,0,7,0,3,0
