GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
vtl-transform,it.bancaditalia.oss.vtl.impl.transform.ops,DatasetUnaryTransformation,186,0,20,0,29,0,17,0,7,0
vtl-transform,it.bancaditalia.oss.vtl.impl.transform.ops,StringUnaryTransformation.StringOperator,117,0,0,0,14,0,8,0,8,0
vtl-transform,it.bancaditalia.oss.vtl.impl.transform.ops,CheckHierarchyTransformation.Output,34,0,0,0,2,0,1,0,1,0
vtl-transform,it.bancaditalia.oss.vtl.impl.transform.ops,ComparisonTransformation,383,233,59,15,47,40,45,7,8,7
vtl-transform,it.bancaditalia.oss.vtl.impl.transform.ops,ConditionalTransformation,447,0,48,0,69,0,34,0,10,0
vtl-transform,it.bancaditalia.oss.vtl.impl.transform.ops,CheckTransformation,372,0,30,0,67,0,25,0,10,0
vtl-transform,it.bancaditalia.oss.vtl.impl.transform.ops,StringUnaryTransformation,192,0,10,0,31,0,14,0,9,0
vtl-transform,it.bancaditalia.oss.vtl.impl.transform.ops,AggregateTransformation,317,0,22,0,45,0,26,0,15,0
vtl-transform,it.bancaditalia.oss.vtl.impl.transform.ops,BracketTransformation,129,0,12,0,20,0,12,0,6,0
vtl-transform,it.bancaditalia.oss.vtl.impl.transform.ops,CastTransformation,614,0,64,0,91,0,58,0,26,0
vtl-transform,it.bancaditalia.oss.vtl.impl.transform.ops,ExistsInTransformation.ExistsInMode,34,0,0,0,2,0,1,0,1,0
vtl-transform,it.bancaditalia.oss.vtl.impl.transform.ops,StrlenTransformation,57,0,4,0,10,0,9,0,7,0
vtl-transform,it.bancaditalia.oss.vtl.impl.transform.ops,CheckHierarchyTransformation,277,0,22,0,46,0,18,0,7,0
vtl-transform,it.bancaditalia.oss.vtl.impl.transform.ops,InclusionTransformation,141,0,4,0,21,0,9,0,7,0
vtl-transform,it.bancaditalia.oss.vtl.impl.transform.ops,SetTransformation,138,0,4,0,21,0,12,0,10,0
vtl-transform,it.bancaditalia.oss.vtl.impl.transform.ops,BinaryTransformation,92,32,18,2,11,8,12,2,2,2
vtl-transform,it.bancaditalia.oss.vtl.impl.transform.ops,JoinTransformation.JoinOperator,44,0,0,0,2,0,1,0,1,0
